Date/Time,Regulatory Changes,Compliance Status,Compliance Costs
2013-06-15,No change,Non-compliant,2606.459200023224
2013-06-16,Amendment,Non-compliant,3832.3326410710215
2013-06-17,Amendment,Non-compliant,4246.269800145596
2013-06-18,Amendment,Compliant,3878.5535372682866
2013-06-19,Amendment,Compliant,1147.3958426307972
2013-06-20,No change,Non-compliant,3299.2677917694864
2013-06-21,No change,Non-compliant,861.4539756029002
2013-06-22,New Regulation,Compliant,3625.8002934821443
2013-06-23,No change,Compliant,2218.27593452507
2013-06-24,New Regulation,Non-compliant,1096.2453031982898
2013-06-25,Amendment,Non-compliant,4379.228856392576
2013-06-26,No change,Non-compliant,3263.037525675218
2013-06-27,No change,Non-compliant,2096.2623557638735
2013-06-28,New Regulation,Non-compliant,638.2723084272479
2013-06-29,Amendment,Compliant,2917.8961655162475
2013-06-30,New Regulation,Non-compliant,4654.516453188046
2013-07-01,Amendment,Compliant,3183.7092471606456
2013-07-02,New Regulation,Non-compliant,4872.427720787719
2013-07-03,No change,Compliant,1114.0300322170633
2013-07-04,No change,Non-compliant,3057.372970676766
2013-07-05,New Regulation,Compliant,4091.5627160289328
2013-07-06,No change,Compliant,2864.9332900657228
2013-07-07,Amendment,Non-compliant,909.7986019436266
2013-07-08,No change,Non-compliant,3122.98700696248
2013-07-09,No change,Compliant,3252.8205762911225
2013-07-10,Amendment,Compliant,3779.1916181390866
2013-07-11,Amendment,Compliant,3925.4518182446327
2013-07-12,New Regulation,Non-compliant,3968.477096947732
2013-07-13,New Regulation,Compliant,3485.499771375347
2013-07-14,Amendment,Non-compliant,1471.1503388839617
2013-07-15,New Regulation,Non-compliant,2319.0609012776567
2013-07-16,No change,Non-compliant,3992.584876764794
2013-07-17,No change,Non-compliant,4790.42142530366
2013-07-18,Amendment,Non-compliant,855.261341764799
2013-07-19,No change,Non-compliant,2909.9150500873766
2013-07-20,No change,Compliant,1906.350220959379
2013-07-21,New Regulation,Compliant,1514.272524425734
2013-07-22,New Regulation,Non-compliant,2776.1480758387174
2013-07-23,Amendment,Compliant,3227.4020325044153
2013-07-24,New Regulation,Compliant,543.9750413876657
2013-07-25,New Regulation,Non-compliant,4010.929574905359
2013-07-26,No change,Compliant,4189.469590667514
2013-07-27,New Regulation,Non-compliant,4844.798710555699
2013-07-28,No change,Non-compliant,1312.8967995111273
2013-07-29,Amendment,Non-compliant,3175.486530624266
2013-07-30,No change,Non-compliant,2419.814180643775
2013-07-31,New Regulation,Compliant,2006.725331999078
2013-08-01,Amendment,Compliant,3045.350531468771
2013-08-02,Amendment,Non-compliant,4020.723919505976
2013-08-03,No change,Compliant,603.7375255034456
2013-08-04,New Regulation,Non-compliant,4862.30050654784
2013-08-05,No change,Non-compliant,4144.467135675699
2013-08-06,New Regulation,Compliant,3880.1916664051028
2013-08-07,No change,Compliant,3921.7432198122656
2013-08-08,No change,Non-compliant,2250.7731932839365
2013-08-09,New Regulation,Compliant,3882.2924788016617
2013-08-10,New Regulation,Non-compliant,2240.4659387133092
2013-08-11,No change,Non-compliant,4544.180733086569
2013-08-12,Amendment,Compliant,1297.5007248791135
2013-08-13,New Regulation,Non-compliant,1815.5634089681816
2013-08-14,No change,Compliant,2981.018942145842
2013-08-15,New Regulation,Non-compliant,1936.4496614927264
2013-08-16,Amendment,Non-compliant,2409.06760382873
2013-08-17,Amendment,Non-compliant,2715.902102293676
2013-08-18,Amendment,Non-compliant,4353.59006966079
2013-08-19,New Regulation,Non-compliant,2854.3651412391177
2013-08-20,No change,Compliant,2131.0693187655224
2013-08-21,No change,Non-compliant,1614.812738158021
2013-08-22,New Regulation,Compliant,2339.0419045648873
2013-08-23,No change,Compliant,2820.8124698646648
2013-08-24,New Regulation,Compliant,3857.5168574145637
2013-08-25,Amendment,Non-compliant,1044.719492775524
2013-08-26,New Regulation,Compliant,1497.241347076179
2013-08-27,Amendment,Compliant,2208.4430714090295
2013-08-28,No change,Compliant,2121.7928230378157
2013-08-29,Amendment,Non-compliant,2262.8663942234525
2013-08-30,New Regulation,Non-compliant,4070.8456908814605
2013-08-31,Amendment,Non-compliant,1958.694813329779
2013-09-01,New Regulation,Non-compliant,2758.541811811991
2013-09-02,Amendment,Compliant,3307.5816478605343
2013-09-03,Amendment,Non-compliant,1544.8034758262231
2013-09-04,New Regulation,Compliant,3734.129242163925
2013-09-05,No change,Non-compliant,2962.0009388222643
2013-09-06,No change,Compliant,2510.515233641201
2013-09-07,Amendment,Non-compliant,4144.028120322412
2013-09-08,No change,Non-compliant,1595.728666333319
2013-09-09,No change,Non-compliant,4474.291867764454
2013-09-10,New Regulation,Non-compliant,3024.7193091501667
2013-09-11,No change,Compliant,3241.286957208462
2013-09-12,New Regulation,Non-compliant,4437.765338760242
2013-09-13,New Regulation,Non-compliant,4179.122095322012
2013-09-14,Amendment,Non-compliant,3207.0293096985515
2013-09-15,Amendment,Compliant,3889.3446673167837
2013-09-16,Amendment,Non-compliant,2449.9377060480356
2013-09-17,Amendment,Non-compliant,2963.1998907488583
2013-09-18,Amendment,Compliant,779.3156151883002
2013-09-19,No change,Compliant,904.3606310002108
2013-09-20,No change,Compliant,4232.414318838494
2013-09-21,New Regulation,Non-compliant,768.5224505712349
2013-09-22,Amendment,Compliant,1262.2960653467328
2013-09-23,Amendment,Non-compliant,4081.246965276987
2013-09-24,New Regulation,Compliant,505.1567778271533
2013-09-25,New Regulation,Non-compliant,1770.8194798063894
2013-09-26,New Regulation,Compliant,3128.173960219798
2013-09-27,Amendment,Compliant,3179.5246916118344
2013-09-28,New Regulation,Compliant,3997.1880870326313
2013-09-29,No change,Non-compliant,2776.668145214767
2013-09-30,Amendment,Compliant,2792.3084128893665
2013-10-01,No change,Non-compliant,3763.897589933152
2013-10-02,Amendment,Compliant,2743.8100846982757
2013-10-03,No change,Compliant,3238.2098895362756
2013-10-04,New Regulation,Compliant,4539.98330714773
2013-10-05,No change,Non-compliant,2306.5295342556738
2013-10-06,Amendment,Non-compliant,2233.0628191365
2013-10-07,New Regulation,Non-compliant,515.970463391471
2013-10-08,New Regulation,Compliant,3260.4181768455437
2013-10-09,New Regulation,Non-compliant,633.9735833320939
2013-10-10,No change,Non-compliant,2768.668203777423
2013-10-11,No change,Compliant,4119.052050645019
2013-10-12,New Regulation,Compliant,2974.644817338484
2013-10-13,Amendment,Non-compliant,1713.362743475042
2013-10-14,Amendment,Non-compliant,4037.7578965221705
2013-10-15,New Regulation,Compliant,1713.7265183714248
2013-10-16,No change,Non-compliant,3798.643014256544
2013-10-17,New Regulation,Compliant,3246.1630483560407
2013-10-18,No change,Compliant,1264.9833353660056
2013-10-19,New Regulation,Non-compliant,4573.102436798836
2013-10-20,No change,Non-compliant,1402.8965733073805
2013-10-21,No change,Compliant,4953.141833633014
2013-10-22,New Regulation,Non-compliant,532.8971989472335
2013-10-23,New Regulation,Compliant,1685.6751971430638
2013-10-24,Amendment,Non-compliant,1399.371337733895
2013-10-25,New Regulation,Compliant,562.9703457670819
2013-10-26,New Regulation,Non-compliant,3795.65555066292
2013-10-27,New Regulation,Non-compliant,3620.4161094481833
2013-10-28,New Regulation,Compliant,4065.5793395971873
2013-10-29,Amendment,Non-compliant,1655.1434590905435
2013-10-30,New Regulation,Compliant,2499.5082518733648
2013-10-31,Amendment,Non-compliant,3466.0108472969637
2013-11-01,New Regulation,Non-compliant,2478.958267496646
2013-11-02,New Regulation,Non-compliant,3637.965966430621
2013-11-03,No change,Non-compliant,3352.8803379819897
2013-11-04,New Regulation,Compliant,1015.9151135997942
2013-11-05,Amendment,Compliant,4014.694044846356
2013-11-06,New Regulation,Non-compliant,3743.0436159163323
2013-11-07,No change,Compliant,3451.254744278324
2013-11-08,Amendment,Compliant,1197.9212282195103
2013-11-09,Amendment,Non-compliant,1705.9840195791364
2013-11-10,Amendment,Compliant,2269.296642144202
2013-11-11,New Regulation,Compliant,1759.6832974539955
2013-11-12,No change,Non-compliant,1525.1463080425915
2013-11-13,No change,Non-compliant,4124.109515727991
2013-11-14,No change,Non-compliant,3372.0451086209105
2013-11-15,No change,Non-compliant,3044.6245919761263
2013-11-16,No change,Compliant,1516.7871988396423
2013-11-17,No change,Non-compliant,4631.344530208886
2013-11-18,No change,Compliant,1360.3236759379233
2013-11-19,New Regulation,Compliant,4077.279197711047
2013-11-20,New Regulation,Non-compliant,4850.027000173819
2013-11-21,No change,Compliant,3771.9172815090624
2013-11-22,Amendment,Compliant,4967.864488330833
2013-11-23,New Regulation,Compliant,3429.7300264007604
2013-11-24,New Regulation,Non-compliant,1478.5715462175276
2013-11-25,No change,Compliant,1417.187721724301
2013-11-26,New Regulation,Non-compliant,1960.5392791496436
2013-11-27,No change,Non-compliant,532.0850909945273
2013-11-28,New Regulation,Compliant,3567.643115372756
2013-11-29,New Regulation,Compliant,1709.0050308252241
2013-11-30,Amendment,Non-compliant,4168.324545317388
2013-12-01,Amendment,Non-compliant,2116.276927516851
2013-12-02,New Regulation,Non-compliant,2659.8042205849074
2013-12-03,New Regulation,Non-compliant,4845.600124521662
2013-12-04,New Regulation,Non-compliant,1589.7745537127469
2013-12-05,No change,Compliant,3745.643438433828
2013-12-06,Amendment,Non-compliant,3898.0300518743775
2013-12-07,No change,Compliant,1494.4917088563584
2013-12-08,No change,Non-compliant,2754.48576475488
2013-12-09,New Regulation,Compliant,2075.9086639083575
2013-12-10,No change,Non-compliant,3973.5780953004014
2013-12-11,No change,Compliant,3301.174935630668
2013-12-12,New Regulation,Compliant,2641.923746872462
2013-12-13,No change,Non-compliant,4007.134692714732
2013-12-14,No change,Compliant,1558.2000650378766
2013-12-15,Amendment,Non-compliant,3891.298462629616
2013-12-16,Amendment,Non-compliant,4394.18440441771
2013-12-17,New Regulation,Compliant,4453.7971856340755
2013-12-18,Amendment,Compliant,4026.531168588217
2013-12-19,Amendment,Non-compliant,2336.063751492209
2013-12-20,Amendment,Non-compliant,4918.136102230222
2013-12-21,No change,Non-compliant,2208.1713972009793
2013-12-22,Amendment,Compliant,3373.8142959609154
2013-12-23,No change,Compliant,1224.833801312609
2013-12-24,Amendment,Non-compliant,4912.020043863768
2013-12-25,Amendment,Compliant,3667.9366483909844
2013-12-26,No change,Compliant,3890.1989536086576
2013-12-27,New Regulation,Compliant,795.9951653501507
2013-12-28,No change,Non-compliant,3935.380163993023
2013-12-29,No change,Non-compliant,3986.255431492706
2013-12-30,New Regulation,Compliant,3522.9772686300344
2013-12-31,Amendment,Compliant,1813.5932620565463
2014-01-01,No change,Non-compliant,2703.6051897239668
2014-01-02,New Regulation,Compliant,996.9546708892242
2014-01-03,No change,Non-compliant,2622.1417990661866
2014-01-04,New Regulation,Non-compliant,1597.2073367018218
2014-01-05,Amendment,Non-compliant,2070.9364392233692
2014-01-06,Amendment,Non-compliant,1231.7018378166438
2014-01-07,No change,Non-compliant,1535.2446548610367
2014-01-08,New Regulation,Non-compliant,844.558888190523
2014-01-09,New Regulation,Non-compliant,4639.556148966146
2014-01-10,Amendment,Compliant,2886.848095889315
2014-01-11,No change,Non-compliant,2285.338870682329
2014-01-12,New Regulation,Compliant,2907.6314574595276
2014-01-13,No change,Compliant,3327.319528166987
2014-01-14,No change,Compliant,4648.454570162071
2014-01-15,No change,Non-compliant,1304.1182852884099
2014-01-16,New Regulation,Compliant,1829.9862438584792
2014-01-17,Amendment,Non-compliant,4891.052013548516
2014-01-18,Amendment,Non-compliant,2170.36843991836
2014-01-19,New Regulation,Compliant,601.5274284079744
2014-01-20,New Regulation,Compliant,1164.3957168672146
2014-01-21,Amendment,Compliant,618.524157868484
2014-01-22,New Regulation,Compliant,4954.654140893278
2014-01-23,Amendment,Non-compliant,1754.9188204605036
2014-01-24,Amendment,Compliant,4655.942406213017
2014-01-25,No change,Compliant,4981.488240918721
2014-01-26,New Regulation,Compliant,3199.285495144014
2014-01-27,No change,Compliant,649.3834177950279
2014-01-28,Amendment,Compliant,867.1623367411713
2014-01-29,Amendment,Non-compliant,2667.15074798545
2014-01-30,New Regulation,Non-compliant,2327.774058101687
2014-01-31,New Regulation,Non-compliant,3227.7978760179544
2014-02-01,Amendment,Compliant,2474.8151437011375
2014-02-02,Amendment,Compliant,4703.345821721679
2014-02-03,Amendment,Non-compliant,2906.3287193608
2014-02-04,No change,Non-compliant,3621.76727658099
2014-02-05,No change,Non-compliant,4534.183726891235
2014-02-06,No change,Non-compliant,1160.9234412494332
2014-02-07,Amendment,Compliant,1533.8059435333785
2014-02-08,New Regulation,Compliant,982.9339721330678
2014-02-09,New Regulation,Compliant,1128.3727965346052
2014-02-10,No change,Non-compliant,2806.627851204049
2014-02-11,Amendment,Non-compliant,1945.3066653535882
2014-02-12,No change,Non-compliant,2404.2777778703967
2014-02-13,Amendment,Compliant,4921.204243073278
2014-02-14,Amendment,Compliant,1205.1695650817665
2014-02-15,New Regulation,Non-compliant,2933.65431859134
2014-02-16,No change,Compliant,944.9201977414293
2014-02-17,New Regulation,Non-compliant,1933.2334096874538
2014-02-18,New Regulation,Non-compliant,2873.866656535694
2014-02-19,No change,Non-compliant,4759.8428568440195
2014-02-20,No change,Compliant,2260.5269957756736
2014-02-21,New Regulation,Non-compliant,792.0801329660142
2014-02-22,No change,Non-compliant,2246.726515821426
2014-02-23,No change,Compliant,1155.8352914328998
2014-02-24,No change,Non-compliant,1534.9532598115038
2014-02-25,No change,Non-compliant,3281.4078042424567
2014-02-26,New Regulation,Compliant,803.4073979165676
2014-02-27,New Regulation,Non-compliant,2591.2569031251683
2014-02-28,New Regulation,Non-compliant,3242.57713704844
2014-03-01,Amendment,Non-compliant,2398.362765653736
2014-03-02,Amendment,Compliant,586.0685778067866
2014-03-03,No change,Non-compliant,4934.837106062894
2014-03-04,No change,Non-compliant,2152.020953032409
2014-03-05,New Regulation,Non-compliant,4003.597341199701
2014-03-06,New Regulation,Compliant,1965.4092148435395
2014-03-07,New Regulation,Compliant,2637.5754064703847
2014-03-08,Amendment,Compliant,2248.0863917494844
2014-03-09,New Regulation,Non-compliant,2041.4265327932346
2014-03-10,Amendment,Compliant,598.3311974350044
2014-03-11,Amendment,Non-compliant,2120.094220345266
2014-03-12,No change,Compliant,4502.704956797885
2014-03-13,New Regulation,Compliant,3606.7700236715764
2014-03-14,Amendment,Compliant,1154.4028659294793
2014-03-15,No change,Compliant,3160.1975208023264
2014-03-16,New Regulation,Non-compliant,4515.038869769922
2014-03-17,Amendment,Compliant,3650.1531843418493
2014-03-18,No change,Non-compliant,1169.0797656051354
2014-03-19,New Regulation,Non-compliant,4405.246235305235
2014-03-20,New Regulation,Non-compliant,1856.9480597998943
2014-03-21,New Regulation,Compliant,2543.342649405538
2014-03-22,New Regulation,Compliant,2867.6424186011586
2014-03-23,New Regulation,Non-compliant,4327.279719701879
2014-03-24,Amendment,Compliant,4692.233728164475
2014-03-25,Amendment,Non-compliant,4683.437950057502
2014-03-26,New Regulation,Compliant,535.7938157534329
2014-03-27,No change,Compliant,4648.498185134557
2014-03-28,New Regulation,Non-compliant,744.7413470070755
2014-03-29,New Regulation,Compliant,1695.981455678459
2014-03-30,Amendment,Non-compliant,2817.445346275248
2014-03-31,No change,Non-compliant,2659.6656005197733
2014-04-01,New Regulation,Compliant,3221.194072493264
2014-04-02,Amendment,Compliant,2657.508029316526
2014-04-03,New Regulation,Compliant,4704.690558381893
2014-04-04,No change,Non-compliant,1582.4698169656415
2014-04-05,No change,Compliant,1733.1111231731863
2014-04-06,Amendment,Compliant,4643.320710618753
2014-04-07,New Regulation,Compliant,845.327811853653
2014-04-08,New Regulation,Compliant,3243.023698571644
2014-04-09,Amendment,Non-compliant,3567.8117842952483
2014-04-10,No change,Compliant,2774.9377554338275
2014-04-11,Amendment,Non-compliant,3624.0434547041173
2014-04-12,Amendment,Compliant,1277.3959070538515
2014-04-13,Amendment,Compliant,4336.845047471929
2014-04-14,No change,Compliant,1130.1156026144852
2014-04-15,New Regulation,Non-compliant,2303.6559994208737
2014-04-16,Amendment,Non-compliant,838.6592058869261
2014-04-17,Amendment,Compliant,2953.4498546783007
2014-04-18,Amendment,Non-compliant,3513.856133415376
2014-04-19,Amendment,Non-compliant,4735.497357928807
2014-04-20,No change,Compliant,3827.012881532004
2014-04-21,New Regulation,Compliant,2934.9631240436797
2014-04-22,New Regulation,Compliant,4696.776577266502
2014-04-23,New Regulation,Compliant,2652.9657711839445
2014-04-24,No change,Compliant,3025.425438944912
2014-04-25,New Regulation,Compliant,3182.443374515431
2014-04-26,New Regulation,Non-compliant,2344.9087664895505
2014-04-27,No change,Compliant,4273.172107546208
2014-04-28,No change,Compliant,1333.291724802766
2014-04-29,Amendment,Compliant,2996.789856672236
2014-04-30,New Regulation,Compliant,3750.0496528423732
2014-05-01,No change,Non-compliant,4567.892773444597
2014-05-02,Amendment,Non-compliant,4477.632783954253
2014-05-03,New Regulation,Non-compliant,2789.331302435639
2014-05-04,New Regulation,Compliant,3394.2265302350374
2014-05-05,Amendment,Compliant,2274.0698125818544
2014-05-06,No change,Non-compliant,2606.7999329609015
2014-05-07,Amendment,Non-compliant,4578.196066578723
2014-05-08,No change,Compliant,4688.167969366133
2014-05-09,No change,Compliant,4529.363261301589
2014-05-10,Amendment,Compliant,1122.668878161372
2014-05-11,No change,Compliant,4325.378095987863
2014-05-12,Amendment,Compliant,4767.636789596661
2014-05-13,New Regulation,Non-compliant,2125.623625581221
2014-05-14,New Regulation,Compliant,2833.9083023975118
2014-05-15,No change,Non-compliant,4005.9286511584814
2014-05-16,New Regulation,Compliant,3029.3516190454193
2014-05-17,Amendment,Non-compliant,4970.675847678122
2014-05-18,Amendment,Non-compliant,2550.7101432057275
2014-05-19,Amendment,Non-compliant,3712.7422004331993
2014-05-20,New Regulation,Compliant,4066.660130884449
2014-05-21,New Regulation,Compliant,2723.4518709129775
2014-05-22,New Regulation,Compliant,4356.4271257011915
2014-05-23,Amendment,Non-compliant,2957.695660432384
2014-05-24,No change,Non-compliant,2352.428585607341
2014-05-25,Amendment,Compliant,985.2065323337615
2014-05-26,No change,Non-compliant,2270.361093576909
2014-05-27,No change,Non-compliant,3802.7140462997786
2014-05-28,Amendment,Non-compliant,4645.788852560483
2014-05-29,Amendment,Non-compliant,1632.5573173713963
2014-05-30,New Regulation,Compliant,2098.559827987262
2014-05-31,No change,Non-compliant,1192.8244734699178
2014-06-01,No change,Compliant,3608.2530240303595
2014-06-02,New Regulation,Non-compliant,4820.847935044663
2014-06-03,No change,Non-compliant,3384.28498931679
2014-06-04,No change,Compliant,3276.844385028018
2014-06-05,New Regulation,Non-compliant,2990.7046872519527
2014-06-06,Amendment,Compliant,898.0508330849143
2014-06-07,New Regulation,Compliant,3782.767218932226
2014-06-08,New Regulation,Compliant,3209.222945972079
2014-06-09,Amendment,Compliant,3476.645459853292
2014-06-10,Amendment,Compliant,4544.649918623397
2014-06-11,New Regulation,Compliant,4027.8235417745805
2014-06-12,Amendment,Compliant,4014.1186346953673
2014-06-13,New Regulation,Non-compliant,4672.326959957064
2014-06-14,Amendment,Compliant,4954.707281583498
2014-06-15,New Regulation,Non-compliant,3115.7722938247684
2014-06-16,New Regulation,Non-compliant,989.9672721402459
2014-06-17,No change,Non-compliant,2566.0845849894636
2014-06-18,No change,Compliant,4044.2051590773995
2014-06-19,No change,Compliant,624.7639614283214
2014-06-20,No change,Non-compliant,755.9934726026709
2014-06-21,Amendment,Compliant,802.210020722696
2014-06-22,Amendment,Non-compliant,3789.6609124773986
2014-06-23,New Regulation,Non-compliant,2755.2498285342745
2014-06-24,Amendment,Non-compliant,2160.040745842671
2014-06-25,No change,Compliant,975.276703677812
2014-06-26,New Regulation,Non-compliant,3795.081125926501
2014-06-27,Amendment,Compliant,1944.5891474790485
2014-06-28,No change,Non-compliant,1693.9583152910022
2014-06-29,No change,Compliant,3435.4364069909793
2014-06-30,New Regulation,Non-compliant,3015.549016685788
2014-07-01,No change,Compliant,2130.8478881598576
2014-07-02,No change,Non-compliant,3386.6936186251464
2014-07-03,No change,Compliant,1720.4968417285318
2014-07-04,Amendment,Compliant,4076.7361772194704
2014-07-05,New Regulation,Compliant,1531.9352763844427
2014-07-06,New Regulation,Non-compliant,1214.7696292190703
2014-07-07,Amendment,Non-compliant,4020.9773427449372
2014-07-08,New Regulation,Non-compliant,3685.5141381406993
2014-07-09,Amendment,Compliant,1321.8753906580928
2014-07-10,Amendment,Compliant,1023.1058871047209
2014-07-11,Amendment,Non-compliant,4272.795898190114
2014-07-12,Amendment,Non-compliant,3994.6931698850963
2014-07-13,New Regulation,Compliant,1972.658181648489
2014-07-14,New Regulation,Non-compliant,3461.8883369601504
2014-07-15,Amendment,Compliant,1058.7208394651486
2014-07-16,Amendment,Compliant,2781.7144657145514
2014-07-17,New Regulation,Compliant,584.2863142718894
2014-07-18,Amendment,Non-compliant,2262.2084641469996
2014-07-19,Amendment,Compliant,836.7926966213229
2014-07-20,Amendment,Non-compliant,2638.1623107059713
2014-07-21,Amendment,Compliant,2397.5674108380244
2014-07-22,New Regulation,Non-compliant,2499.732619871252
2014-07-23,New Regulation,Non-compliant,703.9908592159734
2014-07-24,No change,Compliant,2127.273535768246
2014-07-25,No change,Compliant,3904.177320949624
2014-07-26,No change,Compliant,2160.11468009129
2014-07-27,No change,Compliant,3718.273786743113
2014-07-28,No change,Non-compliant,2162.6542563517996
2014-07-29,No change,Non-compliant,2404.577486705839
2014-07-30,No change,Non-compliant,3037.5145077316974
2014-07-31,Amendment,Non-compliant,4778.068715631871
2014-08-01,No change,Non-compliant,989.8720099099482
2014-08-02,No change,Compliant,648.1119589752816
2014-08-03,No change,Compliant,3235.807327145203
2014-08-04,New Regulation,Non-compliant,4770.936900177919
2014-08-05,Amendment,Compliant,4953.754096496217
2014-08-06,No change,Compliant,2678.739113264008
2014-08-07,Amendment,Compliant,2606.367294882943
2014-08-08,No change,Compliant,3402.336968353383
2014-08-09,New Regulation,Compliant,3000.356407422364
2014-08-10,Amendment,Compliant,3353.3962592635316
2014-08-11,Amendment,Non-compliant,4432.9974149205245
2014-08-12,No change,Compliant,3858.377762694242
2014-08-13,No change,Compliant,2735.9482625905803
2014-08-14,New Regulation,Non-compliant,2578.3900655007633
2014-08-15,New Regulation,Non-compliant,3378.207868309022
2014-08-16,No change,Non-compliant,2550.6782798913387
2014-08-17,New Regulation,Compliant,2560.0070806953795
2014-08-18,New Regulation,Non-compliant,573.3765580392717
2014-08-19,No change,Compliant,1283.2886183328878
2014-08-20,No change,Non-compliant,2698.3113799808884
2014-08-21,No change,Compliant,4201.940565726662
2014-08-22,No change,Compliant,1754.2715302720587
2014-08-23,Amendment,Non-compliant,2851.8954490901706
2014-08-24,Amendment,Compliant,2052.3293814165445
2014-08-25,New Regulation,Compliant,971.6179529281505
2014-08-26,New Regulation,Compliant,4812.343173820853
2014-08-27,New Regulation,Compliant,4346.032416126358
2014-08-28,No change,Non-compliant,853.2159101010789
2014-08-29,New Regulation,Non-compliant,3739.0426811072807
2014-08-30,Amendment,Non-compliant,2064.109569608751
2014-08-31,No change,Compliant,4976.824131778067
2014-09-01,No change,Non-compliant,1860.7933392303996
2014-09-02,New Regulation,Non-compliant,1574.3230041316997
2014-09-03,Amendment,Compliant,3055.5074673743234
2014-09-04,New Regulation,Non-compliant,4258.067735044418
2014-09-05,No change,Non-compliant,1366.3349231890911
2014-09-06,New Regulation,Non-compliant,3692.3124637369906
2014-09-07,No change,Compliant,776.3296241350477
2014-09-08,No change,Non-compliant,4635.206343997238
2014-09-09,Amendment,Non-compliant,864.8371226628445
2014-09-10,Amendment,Non-compliant,4614.041193548731
2014-09-11,New Regulation,Compliant,2708.6326225371627
2014-09-12,New Regulation,Compliant,2516.4100075816395
2014-09-13,New Regulation,Non-compliant,4879.881857751694
2014-09-14,Amendment,Non-compliant,4956.7287996419855
2014-09-15,Amendment,Non-compliant,3425.801566824554
2014-09-16,Amendment,Compliant,1072.0368133567183
2014-09-17,Amendment,Compliant,2777.765385448411
2014-09-18,Amendment,Non-compliant,2881.233954300481
2014-09-19,New Regulation,Non-compliant,2815.008926608894
2014-09-20,No change,Compliant,3062.713273340044
2014-09-21,New Regulation,Compliant,584.261212074758
2014-09-22,New Regulation,Non-compliant,3700.522766617261
2014-09-23,New Regulation,Compliant,3705.774358788446
2014-09-24,Amendment,Non-compliant,1019.6139883004956
2014-09-25,Amendment,Non-compliant,3066.077491006103
2014-09-26,Amendment,Compliant,3057.625320960986
